CodiceBambino,Gruppo,DC,SO,MC,CI,CR,VC,LN,RM,CO,RS,QI.totale,IndiceComprensioneVerbale,IndiceRagionamentoPercettivo,IndiceMemoriaLavoro,IndiceVelocitaElaborazione
1932,Tipico,10,6,10,7,10,10,9,7,3,5,81,78,87,97,85
1933,Tipico,10,11,12,13,14,10,13,13,7,12,112,96,113,115,118
1934,Tipico,10,11,5,12,10,12,7,14,11,15,106,108,113,76,115
1935,Tipico,9,12,14,6,14,12,15,8,10,9,107,108,85,127,109
1936,Tipico,10,11,10,8,8,7,9,10,8,11,94,92,96,97,97
1937,Tipico,9,8,12,12,9,4,10,15,12,11,102,88,113,106,100
1938,Tipico,12,9,10,10,12,11,11,13,8,11,106,96,111,103,109
1939,Tipico,14,12,11,10,9,12,14,9,12,15,115,112,106,115,112
1940,Tipico,10,9,10,9,16,11,12,15,7,8,106,94,109,106,112
1941,Tipico,11,9,12,12,13,9,8,11,9,9,102,94,109,100,106
1942,Tipico,12,10,13,12,13,7,11,12,12,12,111,98,113,112,115
1943,Tipico,10,11,11,11,7,14,7,9,8,9,98,106,100,94,88
1944,Tipico,5,10,10,10,7,12,9,8,9,11,93,102,85,97,94
1945,Tipico,8,9,11,9,8,9,15,13,10,8,100,96,100,118,88
1946,Tipico,12,8,9,10,10,6,9,9,8,10,93,84,102,94,100
1947,Tipico,12,11,7,10,14,12,8,13,10,15,110,106,111,85,126
1948,Tipico,7,9,6,13,9,9,10,6,10,9,90,96,91,88,94
1949,Tipico,4,7,10,5,8,2,9,9,1,14,75,61,74,97,106
1950,Tipico,11,8,6,6,11,7,7,8,7,12,86,84,89,79,109
1951,Tipico,11,15,7,9,13,9,11,13,13,14,112,114,106,94,120
1952,Tipico,16,13,11,12,11,14,12,14,17,11,125,128,126,109,106
1953,Tipico,9,10,15,15,9,13,11,13,11,10,113,108,115,118,97
1954,Tipico,7,9,10,8,8,14,13,9,12,6,97,110,87,109,82
1955,Tipico,10,15,11,11,11,7,11,16,10,12,111,104,115,106,109
1956,Tipico,10,14,14,14,11,13,12,13,9,12,118,112,115,118,109
1957,Tipico,13,9,14,10,9,11,8,13,8,13,106,96,113,106,106
1958,Tipico,11,11,9,7,6,6,6,8,13,5,85,100,91,85,74
1959,Tipico,18,15,9,12,11,12,17,11,9,12,121,112,124,118,109
1960,Tipico,12,8,8,12,15,8,14,13,9,8,106,90,115,106,109
1961,Tipico,13,11,12,12,12,13,11,9,16,13,118,120,109,109,115
1962,Tipico,8,5,13,12,7,6,2,7,5,9,79,72,94,85,88
1963,Tipico,8,12,8,8,12,9,12,6,8,14,98,98,83,100,118
1964,Tipico,16,12,14,11,13,12,16,13,11,13,125,110,121,130,118
1965,Tipico,7,8,8,6,11,5,6,9,6,14,84,78,83,82,115
1966,Tipico,6,6,11,8,6,6,2,8,9,9,77,82,83,79,85
1967,Tipico,13,10,10,10,13,12,11,10,10,13,110,104,106,103,118
1968,Tipico,11,9,10,13,12,13,10,12,10,13,110,104,113,100,115
1969,Tipico,11,14,11,12,6,14,8,11,17,4,106,129,109,97,71
1970,Tipico,12,12,7,13,15,11,4,12,13,12,109,112,115,73,120
1971,Tipico,9,9,8,10,9,10,10,6,11,12,95,100,89,94,103
1972,Tipico,13,12,5,14,8,10,8,15,10,9,103,104,126,79,91
1973,Tipico,8,5,9,10,13,10,6,14,11,13,99,92,104,85,118
1974,Tipico,12,10,8,12,10,8,12,9,3,14,98,82,106,100,112
1975,Tipico,9,11,7,9,13,9,13,4,10,9,95,100,83,100,106
1976,Tipico,13,14,14,8,10,9,10,9,10,6,102,106,100,112,88
1977,Tipico,8,14,11,13,11,13,9,7,14,9,107,122,96,100,100
1978,Tipico,9,7,14,11,9,10,17,9,9,9,103,92,98,133,94
1979,Tipico,13,13,9,13,11,17,16,14,14,11,125,128,121,115,106
1980,Tipico,5,3,4,3,8,2,9,9,5,5,62,61,72,79,80
1981,Tipico,14,9,9,17,8,16,12,9,15,9,115,120,121,103,91
1982,Tipico,3,8,4,8,9,6,8,11,9,11,81,86,83,76,100
1983,Tipico,8,7,8,6,8,8,7,6,10,12,84,90,78,85,100
1984,Tipico,8,8,8,10,14,11,9,12,8,9,98,94,100,91,109
1985,Tipico,7,9,2,16,6,8,9,9,8,4,82,90,104,73,71
1986,Tipico,14,13,9,12,13,13,15,14,13,9,120,118,121,112,106
1987,Tipico,13,8,9,10,10,9,5,13,8,13,98,90,113,82,109
1988,Tipico,10,7,10,11,12,9,12,9,7,10,98,86,100,106,106
1989,Tipico,5,10,7,4,6,6,8,3,5,14,74,82,61,85,100
1990,Tipico,7,9,8,14,12,5,13,10,10,8,97,88,102,103,100
1991,Tipico,9,9,10,5,12,10,11,11,5,11,94,88,89,103,109
1992,Tipico,11,10,17,7,10,12,13,12,10,13,112,104,100,130,109
1993,Tipico,9,9,14,9,9,11,11,9,13,13,106,106,94,115,106
1994,Tipico,13,9,11,11,8,14,15,16,9,7,110,104,121,118,85
1995,Tipico,9,9,9,7,8,11,13,12,11,8,98,102,96,106,88
1996,Tipico,5,8,13,11,12,9,7,9,9,13,97,92,89,100,115
1997,Tipico,16,9,12,8,16,12,13,12,14,11,119,110,113,115,120
1998,Tipico,11,12,7,13,5,9,9,8,11,11,97,104,104,88,88
1999,Tipico,10,7,7,9,7,8,9,4,7,9,81,84,85,88,88
2000,Tipico,7,10,12,12,7,8,8,11,4,6,88,84,100,100,80
2001,Tipico,10,12,13,10,12,9,4,7,13,14,103,108,94,91,118
2002,Tipico,11,13,11,12,8,11,11,8,9,10,103,106,102,106,94
2003,Tipico,9,8,8,9,10,7,6,6,7,11,85,84,87,82,103
2004,Tipico,12,11,9,11,12,15,8,11,8,11,106,108,109,91,109
2005,Tipico,10,5,6,8,11,6,6,9,8,9,82,78,94,76,100
2006,Tipico,6,7,9,8,11,10,7,6,10,12,89,94,78,88,109
2007,Tipico,12,9,7,12,14,8,10,14,10,13,107,94,117,91,120
2008,Tipico,10,12,11,10,11,13,15,10,14,10,113,118,100,118,103
2009,Tipico,3,7,9,5,6,11,9,6,12,11,83,100,66,94,91
2010,Tipico,8,12,7,9,9,10,6,9,12,9,93,108,91,79,94
2011,Tipico,8,9,7,10,5,8,8,5,13,9,85,100,85,85,82
2012,Tipico,15,6,17,9,12,6,13,13,10,12,110,84,115,130,112
2013,Tipico,12,7,13,8,9,11,11,15,12,8,105,100,111,112,91
2014,Tipico,13,12,10,11,10,11,12,10,7,8,103,100,109,106,94
2015,Tipico,11,16,6,18,13,14,12,14,14,13,125,128,128,94,118
2016,Tipico,8,9,9,8,9,7,5,5,10,5,80,92,81,82,82
2017,Tipico,9,10,7,9,10,9,9,6,7,10,89,92,87,88,100
2018,Tipico,13,8,11,9,11,8,10,7,9,9,96,90,98,103,100
2019,Tipico,4,5,9,7,7,8,14,8,9,4,80,84,76,109,74
2020,Tipico,12,10,10,12,9,10,13,8,7,10,101,94,104,109,97
2021,Tipico,10,10,9,6,8,11,13,6,12,9,95,106,83,106,91
2022,Tipico,16,12,11,13,7,15,13,16,11,12,121,116,132,112,97
2023,Tipico,14,9,13,14,9,10,11,14,10,15,115,98,126,112,112
2024,Tipico,7,8,13,7,8,6,9,9,5,10,85,78,85,106,94
2025,Tipico,8,7,7,8,7,11,10,10,7,8,86,90,91,91,85
2026,Tipico,8,3,12,7,8,5,13,7,10,11,87,76,83,115,97
2027,Tipico,11,7,11,15,9,9,11,12,7,11,102,86,117,106,100
2028,Tipico,9,11,8,9,8,7,7,7,8,10,87,92,89,85,94
2029,Tipico,8,11,8,17,11,11,8,13,10,8,104,104,117,88,97
2030,Tipico,8,5,8,5,9,9,4,5,10,4,73,88,74,76,80
2031,Tipico,8,8,10,9,12,9,13,12,10,11,102,94,98,109,109
2032,Tipico,13,6,7,8,8,8,9,5,6,8,82,80,91,88,88
2033,Tipico,11,8,13,8,7,9,8,8,5,9,89,84,94,103,88
2034,Tipico,12,12,13,14,13,12,12,11,10,12,117,108,115,115,115
2035,Tipico,14,11,14,12,13,12,13,13,10,11,119,106,119,121,112
2036,Tipico,14,14,11,13,11,16,9,14,15,10,122,129,124,100,103
2037,Tipico,5,13,9,11,13,14,11,14,19,15,119,131,100,100,123
2038,Tipico,10,8,7,12,12,9,8,4,6,10,89,86,91,85,106
2039,Tipico,13,13,14,11,10,11,9,8,10,9,106,108,104,109,97
2040,Tipico,14,15,16,17,7,13,15,15,13,14,131,122,134,133,103
2041,Tipico,14,14,9,15,11,13,11,14,15,12,123,124,128,100,109
2042,Tipico,14,17,13,10,4,14,13,12,13,11,117,128,113,118,85
2043,Tipico,15,9,10,13,16,14,8,11,12,13,117,110,119,94,126
2044,Tipico,16,12,14,12,10,16,16,11,14,12,127,124,119,130,106
2045,Tipico,12,10,8,10,6,11,10,12,14,9,102,110,109,94,85
2046,Tipico,11,5,9,9,9,3,9,10,3,9,81,63,100,94,94
2047,Tipico,13,17,14,14,12,15,11,12,13,12,127,129,119,115,112
2048,Tipico,12,14,11,7,10,13,5,9,8,14,102,110,96,88,112
2049,Tipico,11,9,7,13,11,11,9,9,10,10,100,100,106,88,103
2050,Tipico,10,12,11,9,11,8,11,8,7,11,98,94,94,106,106
2051,Tipico,9,6,6,10,9,7,5,6,10,8,81,86,89,73,91
2052,Tipico,6,14,8,12,9,12,13,11,10,8,102,112,98,103,91
2053,Tipico,8,8,4,7,8,6,6,7,8,10,77,84,83,70,94
2054,Tipico,7,9,11,16,7,9,15,16,10,7,106,96,119,118,82
2055,Tipico,13,11,10,12,12,9,10,14,10,11,110,100,119,100,109
2056,Tipico,14,12,15,13,9,11,16,13,11,13,122,108,121,133,106
2057,Tipico,12,5,9,4,11,4,6,6,8,9,79,74,83,85,100
2058,Tipico,9,10,9,8,13,10,10,11,8,7,96,96,96,97,100
2059,Tipico,14,12,12,11,14,14,10,11,14,13,120,120,113,106,120
2060,Tipico,9,12,7,4,6,6,1,8,6,6,72,88,81,65,77
2061,Tipico,8,17,10,19,8,13,13,13,15,5,117,129,121,109,80
2062,Tipico,10,12,10,10,11,14,8,8,12,14,107,116,96,94,115
2063,Tipico,12,5,10,9,13,7,11,7,12,11,98,88,96,103,112
2064,Tipico,7,7,6,6,10,6,11,11,10,7,85,86,87,91,91
2065,Tipico,11,15,14,10,6,10,11,7,10,13,106,110,96,115,97
2066,Tipico,8,7,8,9,11,11,10,8,6,12,92,88,89,94,109
2067,Tipico,10,11,13,9,12,9,12,10,10,10,105,100,98,115,106
2068,Tipico,14,11,11,7,12,14,13,10,15,12,115,120,102,112,112
2069,Tipico,13,13,8,12,11,15,13,11,13,10,115,122,113,103,103
2070,Tipico,14,8,11,16,14,12,16,17,12,14,127,104,136,121,123
2071,Tipico,8,13,11,10,9,14,14,9,10,7,104,114,94,115,88
2072,Tipico,16,16,9,11,11,18,10,16,14,13,127,135,128,97,112
2073,Tipico,8,9,11,11,7,11,9,7,11,6,92,102,91,100,80
2074,Tipico,8,15,8,8,8,11,9,14,9,5,96,110,100,91,80
2075,Tipico,13,18,11,13,14,11,13,10,14,16,127,126,113,112,129
2076,Tipico,12,9,13,11,14,11,9,15,9,15,115,98,117,106,126
2077,Tipico,13,7,8,6,14,9,11,8,8,11,96,88,94,97,115
2078,Tipico,8,8,9,12,9,5,5,6,4,11,81,74,91,82,100
2079,Tipico,10,9,10,7,10,10,5,1,9,8,83,96,74,85,94
2080,Tipico,15,14,18,16,17,13,11,11,15,19,140,124,126,127,147
2081,Tipico,13,10,11,10,14,9,11,9,11,13,109,100,104,106,120
2082,Tipico,11,7,4,8,6,5,12,5,4,7,75,72,87,88,80
2083,Tipico,11,11,8,13,12,9,9,13,6,10,102,92,115,91,106
2084,Tipico,14,12,11,8,8,10,6,6,8,10,94,100,96,91,94
2085,Tipico,9,5,7,10,11,9,10,9,12,12,95,92,96,91,109
2086,Tipico,10,11,8,13,10,11,12,9,6,13,102,96,104,100,109
2087,Tipico,9,13,9,10,8,11,9,9,13,8,99,114,96,94,88
2088,Tipico,11,13,13,13,14,13,14,11,17,12,125,126,111,121,118
2089,Tipico,11,13,13,12,10,14,15,14,10,12,119,114,115,124,106
2090,Tipico,12,11,11,11,11,9,8,11,5,8,98,90,109,97,97
2091,Tipico,9,7,8,6,9,10,8,6,9,13,88,92,81,88,106
2092,Tipico,11,11,13,9,8,11,15,7,8,10,102,100,94,124,94
2093,Tipico,11,8,14,11,7,13,11,11,8,7,101,98,106,115,82
2094,Tipico,13,15,13,10,14,16,13,13,11,9,122,124,113,118,109
2095,Tipico,7,6,5,2,2,7,3,8,12,3,64,90,72,65,56
2096,Tipico,10,11,10,14,9,15,16,10,12,8,112,116,109,118,91
2097,Tipico,12,11,8,11,7,10,7,9,8,10,94,98,104,85,91
2098,Tipico,6,14,7,9,7,9,7,12,9,5,88,104,94,82,77
2099,Tipico,8,8,5,6,12,7,7,6,10,11,84,90,78,76,109
2100,Tipico,10,12,10,9,10,16,8,8,12,9,103,120,94,94,97
2101,Tipico,13,12,6,13,11,11,15,15,6,16,115,98,124,103,120
2102,Tipico,9,13,10,7,15,8,5,6,11,13,98,104,83,85,123
2103,Tipico,11,12,14,8,17,12,12,10,12,16,119,112,98,118,138
2104,Tipico,10,12,10,11,7,9,9,11,10,12,101,102,104,97,97
2105,Tipico,8,6,11,8,8,9,11,11,9,6,89,88,94,106,82
2106,Tipico,8,11,12,10,7,11,10,7,5,9,92,94,89,106,88
2107,Tipico,4,9,6,9,10,9,7,10,9,13,89,94,85,79,109
2108,Tipico,11,10,7,13,9,10,8,9,13,15,104,106,106,85,112
2109,Tipico,15,15,10,10,13,11,11,15,8,10,115,108,121,103,109
2110,Tipico,14,9,12,12,8,12,12,12,11,12,111,104,117,112,100
2111,Tipico,11,8,8,9,12,11,9,6,10,11,96,98,91,91,109
2112,Tipico,8,10,8,8,4,8,5,9,10,7,81,96,89,79,74
2113,Tipico,12,11,10,12,9,15,8,13,14,8,110,120,115,94,91
2114,Tipico,11,10,9,14,6,7,10,12,8,13,100,90,115,97,97
2115,Tipico,5,10,9,14,13,12,12,10,11,12,106,106,98,103,115
2116,Tipico,10,9,8,9,9,13,8,8,8,8,92,100,94,88,91
2117,Tipico,13,16,12,15,14,17,13,13,15,16,136,135,124,115,129
2118,Tipico,10,13,5,13,11,12,11,7,11,11,103,112,100,88,106
2119,Tipico,11,12,7,7,13,12,10,10,7,9,98,102,96,91,106
2120,Tipico,12,11,13,10,12,11,10,12,11,12,111,106,109,109,112
2121,Tipico,11,12,16,8,9,13,10,9,13,6,106,116,96,118,85
2122,Tipico,16,14,11,12,13,16,10,16,18,10,129,135,130,103,109
2123,Tipico,11,10,11,7,9,10,11,9,14,10,102,108,94,106,97
2124,Tipico,15,11,6,14,8,11,13,14,10,10,110,104,128,97,94
2125,Tipico,15,14,14,12,8,14,13,13,11,9,119,118,121,121,91
2126,Tipico,14,9,6,9,18,9,9,6,5,15,100,86,98,85,138
2127,Tipico,9,7,11,2,12,5,8,2,7,7,76,78,63,97,97
2128,Tipico,10,7,7,13,10,7,8,7,7,14,92,82,100,85,112
2129,Tipico,11,10,6,10,11,12,6,13,13,12,103,110,109,76,109
2130,Tipico,8,6,8,6,11,8,6,6,8,9,81,84,78,82,100
2131,Tipico,7,7,7,9,7,5,9,7,5,10,78,74,85,88,91
2132,Tipico,12,8,11,13,12,9,8,12,14,13,110,102,115,97,115
2133,Tipico,10,10,10,8,10,13,15,11,8,16,109,102,98,115,118
2134,Tipico,15,11,9,11,7,11,9,13,11,7,103,106,119,94,82
2135,Tipico,11,9,5,7,7,9,9,11,9,9,89,94,98,82,88
2136,Tipico,7,11,8,13,7,13,11,13,14,10,106,116,106,97,91
2137,Tipico,9,10,8,8,19,9,8,7,8,15,101,94,87,88,141
2138,Tipico,9,14,15,13,12,11,9,11,15,14,119,120,106,112,118
2139,Tipico,16,14,11,8,9,7,6,11,10,8,100,102,111,91,91
2140,Tipico,11,17,13,11,11,16,14,18,14,12,130,133,121,121,109
2141,Tipico,13,12,9,13,13,11,11,9,15,12,115,116,111,100,115
2142,Tipico,6,7,8,9,8,13,7,8,8,10,87,96,85,85,94
2143,Tipico,13,11,11,11,10,12,18,9,11,10,113,108,106,127,100
2144,Tipico,7,10,5,4,10,9,6,4,9,6,76,96,68,73,88
2145,Tipico,3,16,11,6,8,10,10,4,14,8,92,120,63,103,88
2146,Tipico,7,10,9,8,6,8,9,10,5,11,86,86,89,94,91
2147,Tipico,12,7,9,9,11,8,7,13,10,15,101,90,109,88,118
2148,Tipico,11,11,8,10,19,8,7,7,10,16,106,98,96,85,144
2149,Tipico,12,9,8,11,11,13,5,9,12,9,99,108,104,79,100
2150,Tipico,16,14,13,13,12,12,13,13,16,9,125,124,126,118,103
2151,Tipico,13,10,7,10,7,9,12,10,10,10,98,98,106,97,91
2152,Tipico,11,11,8,12,12,13,11,11,12,9,108,112,109,97,103
2153,Tipico,13,13,13,12,11,15,14,13,12,17,127,120,117,121,123
2154,Tipico,6,7,10,9,11,7,8,9,7,9,86,82,87,94,100
2155,Tipico,10,13,7,9,10,10,8,7,14,8,97,114,91,85,94
2156,Tipico,14,14,14,13,15,13,16,10,15,17,133,124,115,130,135
2157,Tipico,13,12,12,14,12,10,12,18,8,15,121,100,132,112,120
2158,Tipico,8,11,12,10,7,10,9,14,12,9,102,106,104,103,88
2159,Tipico,9,8,11,8,12,8,12,7,4,8,89,80,87,109,100
2160,Tipico,8,6,7,11,8,5,7,12,2,5,77,67,102,82,80
2161,Tipico,9,12,13,9,7,11,6,9,11,9,97,108,94,97,88
2162,Tipico,12,13,7,14,7,13,9,10,14,8,106,120,113,88,85
2163,Tipico,8,11,6,3,7,11,8,10,8,6,82,100,81,82,80
2164,Tipico,8,8,5,6,9,11,8,11,5,10,85,88,89,79,97
2165,Tipico,13,14,10,14,7,13,13,14,8,13,115,110,124,109,100
2166,Tipico,9,13,8,12,10,15,8,12,13,12,110,122,106,88,106
2167,Tipico,14,10,13,10,12,9,7,12,10,12,107,98,113,100,112
2168,Tipico,7,11,10,9,10,11,10,10,10,9,98,104,91,100,97
2169,Tipico,11,13,11,12,13,14,14,14,14,11,122,122,115,115,112
2170,Tipico,9,10,14,10,10,7,10,8,6,11,96,86,94,112,103
2171,Tipico,12,12,11,8,12,7,8,4,7,9,92,92,87,97,103
2172,Tipico,11,16,11,10,17,19,13,12,13,12,127,135,106,112,126
2173,Tipico,10,15,10,14,11,10,11,7,10,8,105,110,102,103,97
2174,Tipico,4,6,8,8,11,8,9,10,5,15,87,78,83,91,118
2175,Tipico,6,8,4,11,8,5,8,11,8,10,83,82,96,76,94
2176,Tipico,8,12,13,9,3,12,8,13,10,6,95,108,100,103,68
2177,Tipico,7,9,8,10,11,9,8,10,10,11,94,96,94,88,106
2178,Tipico,14,11,11,12,15,12,10,13,8,12,115,102,119,103,120
2179,Tipico,8,12,9,9,8,7,7,7,11,4,85,100,87,88,77
2180,Tipico,10,8,12,6,6,11,8,12,14,7,95,106,96,100,80
2181,Tipico,6,9,11,9,15,12,7,6,12,9,97,106,81,94,112
2182,Tipico,7,4,9,8,11,9,10,8,10,10,89,86,85,97,103
2183,Tipico,7,13,9,11,9,10,9,10,11,9,98,108,96,94,94
2184,Tipico,11,10,11,14,8,8,16,10,11,9,106,98,111,121,91
2185,Tipico,10,10,8,8,9,10,8,12,10,10,96,100,100,88,97
2186,Tipico,11,12,9,15,13,9,14,12,15,16,121,112,117,109,126
2187,Tipico,12,10,11,13,12,8,11,10,13,11,109,102,111,106,109
2188,Tipico,6,1,2,5,8,2,3,7,1,6,52,49,74,56,82
2189,Tipico,9,7,7,9,7,7,8,8,6,5,78,80,91,85,77
2190,Tipico,11,11,9,13,8,8,6,10,10,11,98,98,109,85,97
2191,Tipico,12,13,7,12,10,13,8,14,14,12,112,120,117,85,106
2192,Tipico,10,11,9,13,12,9,10,7,9,11,101,98,100,97,109
2193,Tipico,7,13,10,7,8,11,12,14,12,9,102,112,96,106,91
2194,Tipico,11,6,9,6,9,7,11,6,12,7,87,90,85,100,88
2195,Tipico,8,10,10,9,9,9,12,7,10,7,93,98,87,106,88
2196,Tipico,11,7,12,8,11,11,8,13,11,8,100,98,104,100,97
2197,Tipico,11,10,10,11,11,8,7,10,10,7,96,96,104,91,94
2198,Tipico,12,7,14,12,6,14,11,15,8,9,106,98,119,115,85
2199,Tipico,11,10,8,10,9,8,9,10,10,7,94,96,102,91,88
2200,Tipico,11,11,7,13,4,15,11,12,9,6,99,110,113,94,71
2201,DSA,10,13,13,13,6,11,12,15,12,8,110,112,117,115,82
2202,DSA,4,12,10,8,9,16,9,7,16,9,100,128,76,97,94
2203,DSA,13,12,11,15,10,10,9,14,10,10,111,104,126,100,100
2204,DSA,9,8,7,11,7,9,3,14,7,5,84,88,109,70,77
2205,DSA,8,12,8,11,3,13,6,9,11,11,94,112,96,82,82
2206,DSA,16,9,6,13,11,11,8,11,14,12,109,108,121,82,109
2207,DSA,17,9,8,10,4,9,9,9,15,6,97,106,113,91,71
2208,DSA,15,13,8,14,13,13,10,11,15,10,118,122,121,94,109
2209,DSA,6,9,7,11,9,9,9,7,5,9,85,86,87,88,94
2210,DSA,5,9,7,11,10,3,4,9,8,9,80,80,89,73,97
2211,DSA,9,14,7,16,7,11,10,10,14,5,102,118,111,91,77
2212,DSA,15,8,12,10,8,11,11,12,12,7,105,102,115,109,85
2213,DSA,8,7,4,8,8,8,4,9,9,10,80,88,89,65,94
2214,DSA,10,11,7,11,9,14,9,11,16,7,104,122,104,88,88
2215,DSA,15,9,9,14,7,14,9,17,13,9,113,112,134,94,88
2216,DSA,11,9,10,13,9,12,10,14,7,5,100,96,117,100,82
2217,DSA,8,5,8,11,3,8,8,12,13,4,84,92,102,88,62
2218,DSA,13,9,7,8,10,13,10,18,11,7,105,106,119,91,91
2219,DSA,14,15,7,12,8,11,8,9,15,7,105,122,111,85,85
2220,DSA,15,10,9,14,5,9,6,12,8,8,97,94,124,85,80
2221,DSA,9,11,11,11,3,14,9,12,13,7,100,116,104,100,71
2222,DSA,15,13,13,8,11,11,15,13,9,8,113,106,113,124,97
2223,DSA,15,10,11,17,14,10,13,18,15,18,133,110,143,112,135
2224,DSA,10,9,7,9,9,12,9,8,18,13,103,118,94,88,106
2225,DSA,10,9,1,8,3,6,3,7,3,5,64,76,89,53,65
2226,DSA,14,17,4,9,5,13,5,9,13,7,97,126,104,67,77
2227,DSA,10,13,11,13,9,16,10,9,18,8,114,133,104,103,91
2228,DSA,10,11,1,12,7,10,3,5,10,11,84,102,94,53,94
2229,DSA,11,7,12,8,11,11,10,10,14,11,104,104,98,106,106
2230,DSA,12,15,10,6,4,13,10,14,12,9,104,120,104,100,80
2231,DSA,6,8,7,10,11,12,7,9,8,13,93,96,89,82,112
2232,DSA,13,7,9,13,13,11,6,13,9,11,104,94,119,85,112
2233,DSA,11,10,8,13,3,13,11,12,11,6,98,108,113,97,68
2234,DSA,13,16,8,12,7,17,6,11,16,5,109,137,113,82,77
2235,DSA,3,13,5,14,6,9,8,7,6,7,82,96,87,79,80
2236,DSA,12,6,6,9,4,6,10,10,6,8,81,76,102,88,77
2237,DSA,9,8,8,7,6,9,3,9,8,8,80,90,89,73,82
2238,DSA,14,11,8,11,8,7,10,9,12,10,100,100,109,94,94
2239,DSA,8,12,7,7,6,10,9,7,10,9,88,104,83,88,85
2240,DSA,11,13,8,16,5,11,4,7,16,8,99,120,109,76,80
2241,DSA,9,6,4,16,11,10,6,16,8,9,96,88,124,70,100
2242,DSA,11,5,5,7,8,12,10,9,8,10,88,90,94,85,94
2243,DSA,9,9,6,13,5,11,10,10,15,6,95,110,104,88,74
2244,DSA,14,12,6,14,13,11,9,16,13,19,122,112,130,85,135
2245,DSA,9,5,4,12,10,7,7,9,6,12,85,76,100,73,106
2246,DSA,12,16,7,19,10,15,9,13,11,13,120,124,130,88,109
2247,DSA,7,4,5,9,10,10,8,8,9,13,86,86,87,79,109
2248,DSA,16,13,8,15,6,10,9,13,12,11,110,110,130,91,91
2249,DSA,6,11,10,13,1,11,9,8,9,5,86,102,94,97,59
2250,DSA,9,12,10,13,10,9,7,9,10,8,98,102,102,91,94
2251,DSA,10,17,8,17,4,11,11,13,10,10,109,116,121,97,82
2252,DSA,11,12,8,11,12,10,6,14,11,10,104,106,113,82,106
2253,DSA,13,11,10,12,9,10,6,10,8,6,96,98,111,88,85
2254,DSA,14,7,7,10,9,6,10,13,8,13,98,82,115,91,106
2255,DSA,10,8,5,11,11,7,5,14,7,10,90,84,111,70,103
2256,DSA,8,10,5,13,11,13,4,6,11,6,89,108,94,67,91
2257,DSA,12,11,9,17,6,8,8,14,11,9,104,100,128,91,85
2258,DSA,14,12,6,10,6,10,6,12,10,12,98,104,113,76,94
2259,DSA,14,9,11,13,12,11,10,11,14,11,113,108,117,103,109
2260,DSA,9,17,11,13,8,14,9,18,15,7,117,131,121,100,85
2261,DSA,10,9,11,6,9,10,10,7,15,6,94,108,85,103,85
2262,DSA,11,11,6,13,7,13,8,8,14,13,103,116,104,82,100
2263,DSA,13,14,9,12,9,13,11,15,12,9,114,118,121,100,94
2264,DSA,9,10,10,15,10,10,5,9,9,9,97,98,106,85,97
2265,DSA,8,11,7,6,11,8,10,9,13,12,96,104,85,91,109
2266,DSA,14,8,8,11,10,9,8,12,11,11,102,96,115,88,103
2267,DSA,19,13,8,13,8,10,5,14,9,11,108,104,134,79,97
2268,DSA,15,15,10,14,7,11,11,10,10,9,110,112,119,103,88
2269,DSA,11,4,11,6,9,3,7,7,5,13,81,65,87,94,106
2270,DSA,10,15,10,12,8,14,16,10,15,11,117,128,104,118,97
2271,DSA,5,9,5,12,5,10,5,8,10,6,80,98,89,70,74
2272,DSA,10,9,11,10,13,13,11,14,15,11,114,114,109,106,112
2273,DSA,12,10,8,10,6,8,6,16,9,9,95,94,117,82,85
2274,DSA,14,9,12,12,7,13,11,15,10,10,110,104,124,109,91
2275,DSA,11,9,12,12,7,8,10,12,3,12,97,80,111,106,97
2276,DSA,11,12,8,12,4,12,13,13,13,13,109,114,113,103,91
2277,DSA,12,13,8,10,7,10,7,13,9,5,95,104,111,85,77
2278,DSA,11,9,9,12,11,10,8,8,9,10,98,96,102,91,103
2279,DSA,13,17,6,12,2,14,10,14,12,8,106,126,119,88,71
2280,DSA,12,8,9,11,16,10,5,11,16,16,111,108,109,82,135
2281,DSA,10,10,6,10,7,14,8,7,11,9,94,110,94,82,88
2282,DSA,12,9,12,14,7,6,14,12,10,4,100,90,117,118,74
2283,DSA,9,12,10,17,15,11,11,14,12,12,119,110,121,103,120
2284,DSA,9,11,10,10,7,11,11,9,13,8,99,110,96,103,85
2285,DSA,13,10,6,11,12,7,9,12,8,11,99,90,113,85,109
2286,DSA,11,12,10,9,7,6,9,6,12,6,90,100,91,97,80
2287,DSA,11,12,7,13,9,10,9,13,9,8,101,102,115,88,91
2288,DSA,12,14,10,13,6,15,10,7,11,13,109,120,104,100,97
2289,DSA,13,13,12,13,12,13,11,10,13,14,119,118,113,109,118
2290,DSA,9,11,7,13,5,12,5,9,10,9,92,106,102,76,82
2291,DSA,10,15,11,13,11,13,9,17,14,11,119,124,121,100,106
2292,DSA,11,3,7,10,10,5,6,11,6,9,82,69,104,79,97
2293,DSA,8,11,13,9,9,12,12,10,10,9,102,106,94,115,94
2294,DSA,14,11,9,17,8,11,8,8,12,11,107,108,119,91,97
2295,DSA,8,11,9,13,13,10,8,14,11,11,106,104,111,91,112
2296,DSA,6,10,8,12,6,10,8,11,12,8,93,104,98,88,82
2297,DSA,11,11,11,8,13,14,9,12,11,12,110,112,102,100,115
2298,DSA,10,18,15,12,8,16,14,13,19,12,130,145,111,127,100
2299,DSA,13,13,7,12,6,12,13,16,8,8,106,106,124,100,82
